Timestamp_UTC,Fecha_Hora,Activo,Direccion,RSI,DAMOA
1787030880,2026-08-18 00:28:00,AUD/USD,PUT,0.53,-532.41
1787031000,2026-08-18 00:30:00,USD/CAD,CALL,100.0,9564.47
1788532440,2026-09-04 09:34:00,EUR/JPY,PUT,99.89,3642.16
1788532440,2026-09-04 09:34:00,GBP/JPY,PUT,98.99,544.12
